Name,Area,Type,Category,Distance_km,Rating,Reviews,Price_from_GHS,Price_source,Phone,Confirmed_Contact,Amenities,Colleges_nearby,Website,Latitude,Longitude,Google_Maps_URL,Image
Think Jesus Hostel,Anloga Junction,Hostel,Lodging,2.53,3.7,13,,,0264983424,yes,,Humanities & Social Sciences (KSB) | Health Sciences,,6.6676338,-1.593423,https://www.google.com/maps/search/?api=1&query=Think%20Jesus%20Hostel&query_place_id=ChIJid53ncCV2w8RAj7-lqgZk3U,
Honesty Student Hostel,Anloga Junction,Hostel,Student dormitory,2.23,3.7,7,2300,getrooms.co,0244288299,yes,Security | Wheelchair access | Wi-Fi,Humanities & Social Sciences (KSB) | Health Sciences,,6.6699673,-1.5912698,https://www.google.com/maps/search/?api=1&query=Honesty%20Student%20Hostel&query_place_id=ChIJne_V4gSU2w8RVQJcqst4W60,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHr2nL9rDb-5OagJoldUbzi2h09rr2gQ2T6u0RsymJmSPVDr9BYlmY5X4EXqgWoZxUAZ31VPI7udSEHnAWjYCp5QvkqtxXT2HmXDjA6dgYftdD7HEwh6L_L1DqZCfAMOsrXCR_=w1920-h1080-k-no
Hostel Unique,Anloga Junction,Hostel,Hostel,1.51,4.8,4,,,,,Backup power | Kitchen | Parking | Security | Self-contained,Humanities & Social Sciences (KSB) | Health Sciences,,6.6654887,-1.5818381,https://www.google.com/maps/search/?api=1&query=Hostel%20Unique&query_place_id=ChIJnSk69S6V2w8RAz-kbJ4Cu_s,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpiAGvdxwbEc1Q7hsfkTOwbe9h7-ZRPTKduYPtPcr87kNsNoUzupCKwGajuphnWwJpYbcv5UkKZP_xtN_bDNSBaBbEZF4hl8dBJpJ0QxrhTidP0JAm6wJC55_S6XZ5uWjJwEYy=w1920-h1080-k-no
Mercy Royal Heights,Anloga Junction,Guest house & Hotel,Hotel,2.38,4.7,13,,,+233 24 992 7138,,Air-conditioned | Airport shuttle | Fitness center | Free breakfast | Kitchen | Parking | Pet-friendly | Pool | Spa | Wheelchair access | Wi-Fi,Humanities & Social Sciences (KSB) | Health Sciences,https://www.mercyroyalheights.com/,6.6676875,-1.5920625,https://www.google.com/maps/search/?api=1&query=Mercy%20Royal%20Heights&query_place_id=ChIJHeVwUACV2w8R-tsWEF7gb68,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZ2Xg0oEbp26WaSj0ynvIG1aWw9KvNWSOwp_ixUgU92AOGMk7DejNKlbphuzHvreTVaWvDal8weRTU_RvVCFxI0xhmip3pZFBOYPuvO9gCDlVcUFiMgucSNsBI5ZmW3Vx0zKZA=w1920-h1080-k-no
Rosamond Memorial Hostel,Anloga Junction,Hostel,Hostel,2.52,4.1,7,,,,,,Humanities & Social Sciences (KSB) | Health Sciences,,6.6675211,-1.5933186,https://www.google.com/maps/search/?api=1&query=Rosamond%20Memorial%20Hostel&query_place_id=ChIJK2h8CQSU2w8RsOLIdFief8c,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqWFg2tw9xlCNbQKc5J2AqH2M218fx4kEa90mN6p9lBycVLmbvmSkqFm6dU2gZBB26dfd7Mz5kK1rbrq0VsGagZgFgbaB1HXBD3K6bIm8fDhtzrbes6_qwUgA6kabijYTdM-Ay=w1920-h1080-k-no
Kings Towers Hotel Ltd.,Anloga Junction,Guest house & Hotel,Hotel,1.84,3.9,700,,,+233 20 888 8123,,Air-conditioned | Airport shuttle | Bar | Fitness center | Free breakfast | Kitchen | Laundry service | Parking | Pool | Restaurant | Wi-Fi,Humanities & Social Sciences (KSB) | Health Sciences,,6.6654145,-1.5855651,https://www.google.com/maps/search/?api=1&query=Kings%20Towers%20Hotel%20Ltd.&query_place_id=ChIJ8113KAmU2w8Rispgd_UoCLI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEf6VcOx_TL7vzg8SAeA6ZqPmbGj3RWIJBBPM5CiT-hkBmuPt71pNDgEuUlEeqWbg-U960s6SOJi5KXrTUOkcZcjgNVKT559fnCoPqWgQwchdZoJ5R-u99Daz7ZeroekzLetzA=w1920-h1080-k-no
Precise Lodge,Anloga Junction,Guest house & Hotel,Hotel,2.67,3.9,256,,,+233 32 203 8895,,Free breakfast | Laundry service | Parking | Wi-Fi,Humanities & Social Sciences (KSB) | Health Sciences,,6.6756857,-1.5957427,https://www.google.com/maps/search/?api=1&query=Precise%20Lodge&query_place_id=ChIJ3yB67KaW2w8RwjZl9czKXL8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAvr2K_0s9xYDd5cP2peUMiHBNIwA6TjARMVbxxwZApCXULF2jTlYbVbBZfrFWH24RDGnAI68jL8JDKiiE2lH5czv82U4tft-FWXQQpPvrbPVkau4YneGjHO1qMr0IP2tWGTE=w1920-h1080-k-no
B.K. HOSTEL,Anloga Junction,Hostel,Hostel,1.85,3.8,13,,,+233 55 997 8720,,,Humanities & Social Sciences (KSB) | Health Sciences,,6.6680974,-1.5870961,https://www.google.com/maps/search/?api=1&query=B.K.%20HOSTEL&query_place_id=ChIJZW-q6rGV2w8R_Ubjpax8Ydo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAExcdevP4pnOZm8OEe3o2xbaASSjPXMLfhxim8ggdkygx3reW2pUnIF9QHjbuuq4cUKBzHONYEoYXoPY31m671jKDvdeeZUYCRXPXG6kymIvB2uJ7yTNSmuow6Sv9hEfPSwpTdGVA=w1920-h1080-k-no
Kings Guest House,Anloga Junction,Guest house & Hotel,Guest house,2.25,3.4,19,,,+233 55 712 2842,,,Humanities & Social Sciences (KSB) | Health Sciences,,6.6815839,-1.5907284,https://www.google.com/maps/search/?api=1&query=Kings%20Guest%20House&query_place_id=ChIJP0fxhkGV2w8RY_iaqStdWMg,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjgZrIHXbWoR86VnP5VQVsFyxes1OosaS9o2iUUF4R5bXYqAEzMWdAO8CNvNxdmHczZq92b2ehRQxcuXYWo4wj15ZY55oQhcodVIaelZ2olz4DLGD7DSPscmDen7vdWOx2i0gh=w1920-h1080-k-no
WAB STAR LODGE,Anwomaso,Guest house & Hotel,Hotel,5.85,5,6,,,+233 54 054 6936,,Air-conditioned | Airport shuttle | Fitness center | Free breakfast | Kitchen | Laundry service | Parking | Pool | Smoke-free | Wheelchair access | Wi-Fi,Agriculture & Natural Resources,,6.70604,-1.5291887,https://www.google.com/maps/search/?api=1&query=WAB%20STAR%20LODGE&query_place_id=ChIJuYvfCACV2w8RXWaCA0HclqM,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4l2i1GnTnZfFTsZUpbpzsJLXnRIa1cKhlzWj5Y2jLh1fk0md9oJLJXcYjfWodtRGd-XK8KF-Deqok4xZh_YIjtT9GpSNqTs89ytICHMQwjXuVLqCn0oY4PZ_D-KbmmMRm6vogScYs5Xhx=w1920-h1080-k-no
Prestige Guest House,Anwomaso,Guest house & Hotel,Hotel,4.96,4.5,155,,,+233 55 392 0446,,Air-conditioned | Airport shuttle | Bar | Free breakfast | Laundry service | Parking | Restaurant | Room service | Wheelchair access | Wi-Fi,Agriculture & Natural Resources,https://prestigeguesthousegh.com/,6.6973854,-1.5330665,https://www.google.com/maps/search/?api=1&query=Prestige%20Guest%20House&query_place_id=ChIJ0Z_k6myV2w8RTbFlKa6osSI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBvWUJtWDjqi_4HuraWVr-FZRqAAgxGjfSfvTs3tXurVJdLV2LIIxCOv-VV20FLkrlEFKCYYio7yNfILHVO5iHKo_vYkuiaa67E66TAIeITWqFOxSwYLu-4DbUYza6Olwi3tcn=w1920-h1080-k-no
Asantewaa Premier Hotel,Anwomaso,Guest house & Hotel,Hotel,5.91,4.3,574,,,+233 25 780 7999,,Air-conditioned | Airport shuttle | Bar | Business center | Free breakfast | Kitchen | Laundry service | Parking | Pet-friendly | Restaurant | Room service | Wheelchair access | Wi-Fi,Agriculture & Natural Resources,https://www.asantewaapremierguesthouse.com/,6.7061144,-1.5285723,https://www.google.com/maps/search/?api=1&query=Asantewaa%20Premier%20Hotel&query_place_id=ChIJUctVY92U2w8RZeX0KitRblg,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXW4AFQJkAOBd_04aKzFCYDg5nppp1HjHyxU8IC2uz9mC8J9tDHttH99HdF8w19zNTiZIrp_R4WP1CoBriynkQ7qopKqImZRuTrc22Z7V-hRpZ3WTeU4xKjR2jh0NLHtKTE8Ukbg=w1920-h1080-k-no
NODA Hotel,Anwomaso,Guest house & Hotel,Hotel,5.9,4.2,1404,,,+233 54 505 4500,,Airport shuttle | Bar | Free breakfast | Laundry service | Parking | Pool | Restaurant | Room service | Wi-Fi,Agriculture & Natural Resources,http://www.nodahotel.com/,6.7058535,-1.5284638,https://www.google.com/maps/search/?api=1&query=NODA%20Hotel&query_place_id=ChIJScUR3n-V2w8R8HmXcxYWhGc,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrTtrDov2sMDzIutMKa7k91DDYXHDnkY8UGZZuejfWGx8bZkvmakFEXQOse17O0oW1Y3wWL5vxn_seaqQXYyRujyAQhzkkqcINC41PMFoXAWCbxzd0mkiu3WLKiRj9TMXC3kgHSg=w1920-h1080-k-no
Lavimac Royal Hotel,Anwomaso,Guest house & Hotel,Hotel,5.5,4.2,60,,,+233 54 326 3342,,,Agriculture & Natural Resources,,6.6867793,-1.5233433,https://www.google.com/maps/search/?api=1&query=Lavimac%20Royal%20Hotel&query_place_id=ChIJBdqQw3KV2w8ROv6QzD-oHxI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGy5ZBTtvbTLBlRfo1nW2dB8HQle5AJp7PPq6BFwaPb6hGQG5IIcNxm6t2Y85zWZVzi9rrct1XbCo_dExbQJy-fjT6PW8TYGpPJtpOuTD2a7P5ypDscFl7jLV409pDfL96hmJsV-l_tCs4X=w1920-h1080-k-no
Ben Andoh Lodge,Anwomaso,Guest house & Hotel,Indoor lodging,5.23,4.1,13,,,+233 20 448 8883,,,Agriculture & Natural Resources,,6.6966025,-1.529765,https://www.google.com/maps/search/?api=1&query=Ben%20Andoh%20Lodge&query_place_id=ChIJo3-ckdqV2w8RLMmCQfpT_xM,
Kosados Hotel,Anwomaso,Guest house & Hotel,Hostel,5.27,4,639,,,+233 32 206 2196,,Air-conditioned | Breakfast | Laundry service | Parking | Pool | Wi-Fi,Agriculture & Natural Resources,,6.7021008,-1.532796,https://www.google.com/maps/search/?api=1&query=Kosados%20Hotel&query_place_id=ChIJAUUQW9iU2w8Rv2yqAIg3ALo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzE5Jy0PXt6qcmwnjQ-LlAtB_XyQzZeGPVA2w2cVyV7ZD2bjXcOCabBKSRWnagx84SJreXkxdsZXA2VSSsorNTnBhw6COF1Z7nWJkk25nKjjuLvyy8E15cDEJdSRCGuG5BCvk0=w1920-h1080-k-no
Lizgat,Anwomaso,Guest house & Hotel,Hotel,5.22,3.8,80,,,+233 20 910 6676,,,Agriculture & Natural Resources,,6.7025715,-1.5337245,https://www.google.com/maps/search/?api=1&query=Lizgat&query_place_id=ChIJBV34-diU2w8RRfRrPnvwfbI,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJ_GJdgQTwPoiHITxd27kUm2rRrfOmWYS60iZijIiM_RpHACC4onA0-b4w0v5fND7Ga-nrWkLFwFHvAabxwurNm4ljYJkuO2wJ_Kf0zkFEV4H9wSlGAwNgB8xTb9Dm3W4Su7YL=w1920-h1080-k-no
McKeown Hotel,Anwomaso,Guest house & Hotel,Hotel,4.39,3.6,93,,,+233 24 484 2195,,,Agriculture & Natural Resources,,6.6972732,-1.5391393,https://www.google.com/maps/search/?api=1&query=McKeown%20Hotel&query_place_id=ChIJQ0xWD92U2w8R-I-KwCfgSD8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkaytk9PkyTvj0a9Pse7XwK2YlYm2NY_yDMo4_qvd3VLTAJVFD9jNGoRJ_5HP2QlWAZA3QN1_E3J0yWykZx1DyNICnetjGrA66PiPBbr4bW-B60yfYBuTy7CqLVhtn6JXmX1pX=w1920-h1080-k-no
DAVEP GUEST HOUSE - Two-Bedroom Apartment,Anwomaso,Apartment / Self-contained,Apartment,4.99,,0,,,,,Air-conditioned | Kitchen | Parking | Pet-friendly | Smoke-free | Wi-Fi,Agriculture & Natural Resources,https://br.bluepillow.com/search/627d2655df4f49af9b34a382?dest=bkng&cat=Apartment&lat=6.6924&lng=-1.53015&language=pt,6.6924,-1.5301501,https://www.google.com/maps/search/?api=1&query=DAVEP%20GUEST%20HOUSE%20-%20Two-Bedroom%20Apartment&query_place_id=ChIJyVSj88-U2w8Rty4ahxRWPH8,
Davep Guest House,Anwomaso,Guest house & Hotel,Bed & breakfast,4.6,,0,,,+233 24 423 6543,,,Agriculture & Natural Resources,,6.6901551,-1.5330261,https://www.google.com/maps/search/?api=1&query=Davep%20Guest%20House&query_place_id=ChIJgUu9c7CV2w8Ryg7hVsS1LM0,
RitJoe Lodge,Appiadu,Guest house & Hotel,Hotel,5.28,4.8,5,,,+233 53 586 5078,,,Agriculture & Natural Resources,https://ritjoelodge.com/,6.6738501,-1.5238081,https://www.google.com/maps/search/?api=1&query=RitJoe%20Lodge&query_place_id=ChIJD5elDwCV2w8RUymAVUMnl1g,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFjjGa42vzTgvTfl0axf1YHmm_vIP_tbG-7xP6lhR5dnmN-JoRimNfHi2JUQ9Az_XM3WTn2qksN1xM5kMdIf3zmMKgf775astdCDDVTj5mYxUpBLQrbRzw2b_oObwVuMZ0RLUEHbw=w1920-h1080-k-no
Pokuaa Memorial Guesthouse,Appiadu,Guest house & Hotel,Guest house,5.94,3.7,99,,,+233 24 005 4329,,,Agriculture & Natural Resources,,6.6578601,-1.5204608,https://www.google.com/maps/search/?api=1&query=Pokuaa%20Memorial%20Guesthouse&query_place_id=ChIJV6jxzWHt2w8R9VaupTz-RO0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhO-V2vaqmr-sTG41OtB_9DXDEsIXFT6daAxu9j9q0klswW7OAjZXhie34wv4DvaRERljsX7thEcqnyNkxcditPlvw0Zs_xvbifea-Nt3BIYWpgW261OJzSFDwB1gee5TBIkCO=w1920-h1080-k-no
Jay’s lodge,Appiadu,Guest house & Hotel,Apartment building,5.2,,0,,,,,,Agriculture & Natural Resources,,6.6809874,-1.5249962,https://www.google.com/maps/search/?api=1&query=Jay%E2%80%99s%20lodge&query_place_id=ChIJ4eyKFQCV2w8Rc5RyOkKqLgE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBTO3VEeELQ7PclRnqLG4oB01NmFr_wWwP73VoFE5Hd3z9bK-XqCY1viphPw91phPokfV2Ok1Gq0JxFI9Wofo8bSIVmcZA8LqxlF752mwsSHDvB4mFH2co_OEUNdjtU9z1nsBlLA=w1920-h1080-k-no
Esther's lodge,Appiadu,Guest house & Hotel,Apartment complex,5.34,,0,,,,,,Agriculture & Natural Resources,,6.6813517,-1.5237529,https://www.google.com/maps/search/?api=1&query=Esther's%20lodge&query_place_id=ChIJD8faMQCV2w8RRByIuN_006Y,
Emmanuel,Appiadu,Hostel,Hostel,4.54,,0,,,,,,Agriculture & Natural Resources,,6.6721525,-1.5305188,https://www.google.com/maps/search/?api=1&query=Emmanuel&query_place_id=ChIJIxxKSgCV2w8RJ9KGRkjDqpw,
Jacita Hostel,Appiadu,Hostel,Hostel,5.59,,0,,,,,,Agriculture & Natural Resources,,6.6655939,-1.5217483,https://www.google.com/maps/search/?api=1&query=Jacita%20Hostel&query_place_id=ChIJUcSS5KaV2w8R762K4yA7qIU,
Wagyingo Opal Hostel,Ayeduase,Hostel,Hostel,1.42,4.4,17,9500,wagyingohostel.com,0549678089,yes,Wi-Fi,Engineering | Science | Art & Built Environment | Humanities & Social Sciences (KSB),https://www.wagyingohostel.com/,6.6738522,-1.5587466,https://www.google.com/maps/search/?api=1&query=Wagyingo%20Opal%20Hostel&query_place_id=ChIJs3IchvWV2w8RIcqPrjNqYCE,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHo8fZvx7Uont8XggqQDbH33pVd_GeiOtouux1BRc2hXUZoZ5D-4LVIorvjGeGvAsCfMrxkGI4u2SIf8qJXUBWuvz0rkNv44QqBkAyhh7asFYTknR7DNjBTJiiPx7ES6X5MD4K9=w1920-h1080-k-no
